Date,Rep,Compound,Dilution,Wells,Perimeter,Middle,% in wells,
9/22/16,1,Pentyl Acetate,10^-3,4,11,0,26.67%,
9/22/16,1,Pentyl Acetate,10^-2,7,7,1,46.67%,
9/22/16,1,Pentyl Acetate,10^-2,4,2,9,26.67%,
9/22/16,1,Pentyl Acetate,10^-2,4,8,3,26.67%,
9/22/16,1,Pentyl Acetate,10^-1,5,10,0,33.33%,
9/22/16,1,Pentyl Acetate,10^-1,4,7,4,26.67%,
9/22/16,1,Pentyl Acetate,10^-1,11,2,2,73.33%,
9/22/16,1,Pentyl Acetate,1,0,8,7,0.00%,
9/22/16,1,Pentyl Acetate,1,2,12,1,13.33%,
9/22/16,1,Pentyl Acetate,1,0,13,2,0.00%,
9/27/16,2,Hexyl Acetate,0,0,2,13,0.00%,
9/27/16,2,Hexyl Acetate,0,0,12,3,0.00%,
9/27/16,2,Hexyl Acetate,0,0,8,7,0.00%,
9/27/16,2,Hexyl Acetate,10^-5,0,8,5,0.00%,note: does not add to 15
9/27/16,2,Hexyl Acetate,10^-5,0,3,12,0.00%,
9/27/16,2,Hexyl Acetate,10^-5,0,4,11,0.00%,
9/27/16,2,Hexyl Acetate,10^-4,0,1,14,0.00%,
9/27/16,2,Hexyl Acetate,10^-4,0,0,15,0.00%,
9/27/16,2,Hexyl Acetate,10^-4,0,6,9,0.00%,
9/27/16,2,Hexyl Acetate,10^-3,0,4,11,0.00%,
9/27/16,2,Hexyl Acetate,10^-3,1,3,11,6.67%,
9/27/16,2,Hexyl Acetate,10^-3,1,2,12,6.67%,
9/27/16,2,Hexyl Acetate,10^-2,2,13,0,13.33%,
9/27/16,2,Hexyl Acetate,10^-2,5,6,4,33.33%,
9/27/16,2,Hexyl Acetate,10^-2,0,4,11,0.00%,
9/27/16,2,Hexyl Acetate,10^-1,4,5,6,26.67%,
9/27/16,2,Hexyl Acetate,10^-1,2,11,2,13.33%,
9/27/16,2,Hexyl Acetate,10^-1,6,8,1,40.00%,
9/27/16,2,Hexyl Acetate,1,4,8,3,26.67%,
9/27/16,2,Hexyl Acetate,1,2,6,7,13.33%,
9/27/16,2,Hexyl Acetate,1,1,14,0,6.67%,
9/29/16,2,Pentyl Acetate,0,1,2,12,6.67%,
9/29/16,2,Pentyl Acetate,0,4,6,5,26.67%,
9/29/16,2,Pentyl Acetate,0,2,8,5,13.33%,
9/29/16,2,Pentyl Acetate,10^-5,2,7,6,13.33%,
9/29/16,2,Pentyl Acetate,10^-5,2,5,8,13.33%,
9/29/16,2,Pentyl Acetate,10^-5,1,10,4,6.67%,
9/29/16,2,Pentyl Acetate,10^-4,2,7,6,13.33%,
9/29/16,2,Pentyl Acetate,10^-4,2,7,6,13.33%,
9/29/16,2,Pentyl Acetate,10^-4,4,3,8,26.67%,
9/29/16,2,Pentyl Acetate,10^-3,3,7,5,20.00%,
9/29/16,2,Pentyl Acetate,10^-3,0,8,7,0.00%,
9/29/16,2,Pentyl Acetate,10^-3,0,7,8,0.00%,
9/29/16,2,Pentyl Acetate,10^-2,2,9,4,13.33%,
9/29/16,2,Pentyl Acetate,10^-2,2,4,9,13.33%,
9/29/16,2,Pentyl Acetate,10^-2,3,8,4,20.00%,
9/29/16,2,Pentyl Acetate,10^-1,0,5,10,0.00%,
9/29/16,2,Pentyl Acetate,10^-1,3,8,4,20.00%,
9/29/16,2,Pentyl Acetate,10^-1,6,5,4,40.00%,
9/29/16,2,Pentyl Acetate,1,3,7,5,20.00%,
9/29/16,2,Pentyl Acetate,1,3,6,6,20.00%,
9/29/16,2,Pentyl Acetate,1,8,5,2,53.33%,
10/4/16,3,Hexyl Acetate,0,1,12,2,6.67%,
10/4/16,3,Hexyl Acetate,0,0,10,5,0.00%,
10/4/16,3,Hexyl Acetate,0,0,2,13,0.00%,
10/4/16,3,Hexyl Acetate,10^-5,8,7,0,53.33%,
10/4/16,3,Hexyl Acetate,10^-5,1,6,8,6.67%,
10/4/16,3,Hexyl Acetate,10^-5,3,4,8,20.00%,
10/4/16,3,Hexyl Acetate,10^-4,3,5,7,20.00%,
10/4/16,3,Hexyl Acetate,10^-4,0,9,6,0.00%,
10/4/16,3,Hexyl Acetate,10^-4,0,1,14,0.00%,
10/4/16,3,Hexyl Acetate,10^-3,1,3,11,6.67%,
10/4/16,3,Hexyl Acetate,10^-3,0,10,5,0.00%,
10/4/16,3,Hexyl Acetate,10^-3,1,3,11,6.67%,
10/4/16,3,Hexyl Acetate,10^-2,9,3,3,60.00%,
10/4/16,3,Hexyl Acetate,10^-2,0,2,13,0.00%,
10/4/16,3,Hexyl Acetate,10^-2,1,1,13,6.67%,
10/4/16,3,Hexyl Acetate,10^-1,0,4,11,0.00%,
10/4/16,3,Hexyl Acetate,10^-1,0,0,15,0.00%,
10/4/16,3,Hexyl Acetate,10^-1,2,2,11,13.33%,
10/4/16,3,Hexyl Acetate,1,5,6,4,33.33%,
10/4/16,3,Hexyl Acetate,1,1,9,5,6.67%,
10/4/16,3,Hexyl Acetate,1,5,6,4,33.33%,
10/6/16,3,Pentyl Acetate,0,0,1,14,0.00%,
10/6/16,3,Pentyl Acetate,0,0,1,14,0.00%,
10/6/16,3,Pentyl Acetate,0,1,3,11,6.67%,
10/6/16,3,Pentyl Acetate,10^-5,4,6,5,26.67%,
10/6/16,3,Pentyl Acetate,10^-5,3,6,6,20.00%,
10/6/16,3,Pentyl Acetate,10^-5,1,6,8,6.67%,
10/6/16,3,Pentyl Acetate,10^-4,1,9,5,6.67%,
10/6/16,3,Pentyl Acetate,10^-4,4,7,4,26.67%,
